Year,Ranking,Stock_Performance_Year,Stock_Performance,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Average Rank,Years Appeared,Original Currency,ReportDate_2024,TotalRevenueIncr,NetIncomeIncr,OperatingIncomeIncr,GrossProfitIncr,DilutedEPSIncr,TotalRevenue,NetIncome,OperatingIncome,GrossProfit,DilutedEPS
2016,0,2015,48.3852963197141,GOOGL,Alphabet Inc,USA,Communication Services,185719.0,53.2,5,USD,2024-12-31,,,,,,,,,,
2017,0,2016,3.96877024926157,GOOGL,Alphabet Inc,USA,Communication Services,185719.0,53.2,5,USD,2024-12-31,,,,,,,,,,
2018,0,2017,31.5730398055244,GOOGL,Alphabet Inc,USA,Communication Services,185719.0,53.2,5,USD,2024-12-31,,,,,,,,,,
2024,0,2023,55.9214390751224,GOOGL,Alphabet Inc,USA,Communication Services,185719.0,53.2,5,USD,2024-12-31,8.682770227269513,23.049089575135064,12.627936185564256,11.127284799499467,27.192982456140356,307394000000.0,73795000000.0,84293000000.0,174062000000.0,5.8
2025,0,2024,38.5299591565977,GOOGL,Alphabet Inc,USA,Communication Services,185719.0,53.2,5,USD,2024-12-31,13.866243322901553,35.67043837658378,33.3325424412466,17.03416024175294,38.6206896551724,350018000000.0,100118000000.0,112390000000.0,203712000000.0,8.04
2016,0,2015,4.36802455901207,ALO.PA,Alstom SA,France,Industrials,86039.0,31.0,5,EUR,2025-03-31,,,,,,,,,,
2017,0,2016,-7.08200509273295,ALO.PA,Alstom SA,France,Industrials,86039.0,31.0,5,EUR,2025-03-31,,,,,,,,,,
2018,0,2017,32.1558182915963,ALO.PA,Alstom SA,France,Industrials,86039.0,31.0,5,EUR,2025-03-31,,,,,,,,,,
2020,0,2019,21.1566080362415,ALO.PA,Alstom SA,France,Industrials,86039.0,31.0,5,EUR,2025-03-31,,,,,,,,,,
2023,0,2022,-27.4403842885905,ALO.PA,Alstom SA,France,Industrials,86039.0,31.0,5,EUR,2025-03-31,6.696399716130934,-77.2805507807602,131.99999995826403,13.971014527117227,-265.9574467986702,18984474285.0,-151811389.4,333525022.3,2261069634.0,-1.794134603
2016,0,2015,26.1033780383329,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643.0,51.5,2,EUR,2024-12-31,,,,,,,,,,
2019,0,2018,3.94716687770386,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643.0,51.5,2,EUR,2024-12-31,,,,,,,,,,
2020,0,2019,22.2051759399069,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643.0,51.5,2,EUR,2024-12-31,,,,,,,,,,
2021,0,2020,-17.221237856612,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643.0,51.5,2,EUR,2024-12-31,,,,,,,,,,
2022,0,2021,-1.81100242974006,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643.0,51.5,2,EUR,2024-12-31,,,,,,3070730377.0,-163772286.8,-95457161.55,960207038.2,-0.368027611
2023,0,2022,-18.5129203477156,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643.0,51.5,2,EUR,2024-12-31,68.01123597964134,-566.5730337106094,-1259.8795177039285,124.23044680407133,-553.124999634878,5159172060.0,764117326.9,1107188065.0,2153076532.0,1.667625111
2024,0,2023,33.5253123364991,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643.0,51.5,2,EUR,2024-12-31,21.295615153412815,68.21192057174905,46.8681833198771,28.807221795495373,67.58620690978549,6257849487.0,1285336431.0,1626106997.0,2773318064.0,2.794709669
2025,0,2024,6.11213961022983,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643.0,51.5,2,EUR,2024-12-31,12.873998386724061,12.115246891340933,15.114223015670353,10.102015439077313,14.814814812164299,7063484929.0,1441058113.0,1871880435.0,3053479083.0,3.208740731
2016,0,2015,16.2285316029952,AWK,American Water Works Company Inc,USA,Utilities,6700.0,10.33333333,3,USD,2024-12-31,,,,,,,,,,
2017,0,2016,23.718355142496,AWK,American Water Works Company Inc,USA,Utilities,6700.0,10.33333333,3,USD,2024-12-31,,,,,,,,,,
2018,0,2017,28.9932102105433,AWK,American Water Works Company Inc,USA,Utilities,6700.0,10.33333333,3,USD,2024-12-31,,,,,,,,,,
2019,0,2018,1.02254114771014,AWK,American Water Works Company Inc,USA,Utilities,6700.0,10.33333333,3,USD,2024-12-31,,,,,,,,,,
2023,0,2022,-17.9399074822565,AWK,American Water Works Company Inc,USA,Utilities,6700.0,10.33333333,3,USD,2024-12-31,-3.5114503816793894,-35.07521773555028,6.438127090301003,2.3223409196470044,-35.10791366906476,3792000000.0,820000000.0,1273000000.0,2203000000.0,4.51
2024,0,2023,-12.4544119160498,AWK,American Water Works Company Inc,USA,Utilities,6700.0,10.33333333,3,USD,2024-12-31,11.656118143459917,15.121951219512194,18.146111547525532,14.117113027689514,8.647450110864758,4234000000.0,944000000.0,1504000000.0,2514000000.0,4.9
2025,0,2024,-3.13977573846945,AWK,American Water Works Company Inc,USA,Utilities,6700.0,10.33333333,3,USD,2024-12-31,10.628247520075579,11.334745762711865,14.22872340425532,12.410501193317423,9.999999999999986,4684000000.0,1051000000.0,1718000000.0,2826000000.0,5.39
