Company Name,Country,GICS Sector,Ticker
Kilroy Realty,USA,Real Estate,KRC
NextEra Energy,USA,Utilities,NEE
Duke Energy,USA,Utilities,DUK
Southern Company,USA,Utilities,SO
Dominion Energy,USA,Utilities,D
Exelon,USA,Utilities,EXC
American Electric Power,USA,Utilities,AEP
PG&E Corporation,USA,Utilities,PCG
Xcel Energy,USA,Utilities,XEL
Consolidated Edison,USA,Utilities,ED
Sempra Energy,USA,Utilities,SRE
PPL Corp,USA,Utilities,PPL
Entergy Corp,USA,Utilities,ETR
FirstEnergy,USA,Utilities,FE
Edison International,USA,Utilities,EIX
CenterPoint Energy,USA,Utilities,CNP
NRG Energy,USA,Utilities,NRG
Atmos Energy,USA,Utilities,ATO
NiSource,USA,Utilities,NI
CMS Energy,USA,Utilities,CMS
AES Corporation,USA,Utilities,AES
Public Service Enterprise,USA,Utilities,PEG
Evergy,USA,Utilities,EVRG
Alliant Energy,USA,Utilities,LNT
UGI Corporation,USA,Utilities,UGI
Portland General Electric,USA,Utilities,POR
IDACORP,USA,Utilities,IDA
Ahold Delhaize,Netherlands,Consumer Staples,AD.AS
Wesfarmers,Australia,Consumer Staples,WES.AX
Siemens,Germany,Industrials,SIE.DE
Mitsubishi Heavy Industries,Japan,Industrials,7011.T
Volvo Group,Sweden,Industrials,VOLV-B.ST
Kone,Finland,Industrials,KNEBV.HE
Eni,Italy,Energy,E
Banco Santander,Spain,Financials,SAN
ING Group,Netherlands,Financials,INGA.AS
Macquarie Group,Australia,Financials,MQG.AX
Toronto-Dominion Bank,Canada,Financials,TD
Vonovia,Germany,Real Estate,VNA.DE
CapitaLand Investment,Singapore,Real Estate,9CI.SI
Enel,Italy,Utilities,ENEL.MI
Iberdrola,Spain,Utilities,IBE.MC
Fortum,Finland,Utilities,FORTUM.HE
E.ON,Germany,Utilities,EOAN.DE
Rogers Communications,Canada,Communication Services,RCI
Telstra,Australia,Communication Services,TLS.AX
Adidas,Germany,Consumer Discretionary,ADS.DE
