Id,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Original Currency,ESG Rank Year,ESG Rank,Average Rank,Years Appeared,Fin Metrics Year,Stock_Performance per,ReportDate,TotalRevenueIncr per,NetIncomeIncr per,OperatingIncomeIncr per,GrossProfitIncr per,DilutedEPSIncr per,TotalRevenue,NetIncome,OperatingIncome,GrossProfit,DilutedEPS,Net Margin per,Operating Margin per,Gross Margin per,ToralRevenue per employee,NetIncome per employee
163,BXB.AX,Brambles Ltd,Australia,Industrials,12743,USD,2023,3,7.4,5,2022,16.65,6/30/2024,6.7,12.77,-7.07,1.84,17.46,5558900000,593300000,643100000,2558000000,0.417,10.67,11.57,46.02,4.36E+05,46558.9
164,BXB.AX,Brambles Ltd,Australia,Industrials,12743,USD,2024,2,7.4,5,2023,15.48,6/30/2024,9.32,18.54,19.92,13.44,20.86,6076800000,703300000,771200000,2901700000,0.504,11.57,12.69,47.75,4.77E+05,55191.09
165,BXB.AX,Brambles Ltd,Australia,Industrials,12743,USD,2025,4,7.4,5,2024,46.33,6/30/2024,7.71,10.89,29.97,11.44,10.71,6545400000,779900000,1002300000,3233700000,0.558,11.92,15.31,49.4,5.14E+05,61202.23
166,BT-A.L,BT Group PLC,United Kingdom,Communication Services,85300,GBP,2016,27,53.125,8,2015,16.61,3/31/2025,,,,,,,,,,,,,,,
167,BT-A.L,BT Group PLC,United Kingdom,Communication Services,85300,GBP,2017,41,53.125,8,2016,-21.45,3/31/2025,,,,,,,,,,,,,,,
168,BT-A.L,BT Group PLC,United Kingdom,Communication Services,85300,GBP,2018,62,53.125,8,2017,-26.83,3/31/2025,,,,,,,,,,,,,,,
169,BT-A.L,BT Group PLC,United Kingdom,Communication Services,85300,GBP,2020,65,53.125,8,2019,-18.37,3/31/2025,,,,,,,,,,,,,,,
170,BT-A.L,BT Group PLC,United Kingdom,Communication Services,85300,GBP,2021,35,53.125,8,2020,-29.84,3/31/2025,,,,,,,,,,,,,,,
171,BT-A.L,BT Group PLC,United Kingdom,Communication Services,85300,GBP,2022,84,53.125,8,2021,24.46,3/31/2025,,,,,,28014025927,1711744318,4454028583,20840554252,0.168,6.11,15.9,74.39,3.28E+05,20067.34
172,BT-A.L,BT Group PLC,United Kingdom,Communication Services,85300,GBP,2023,25,53.125,8,2022,-33.09,3/31/2025,-0.81,49.53,0.94,-2.21,51.2,27786957803,2559554887,4495680132,20379700012,0.254,9.21,16.18,73.34,3.26E+05,30006.51
173,BT-A.L,BT Group PLC,United Kingdom,Communication Services,85300,GBP,2025,86,53.125,8,2024,15.72,3/31/2025,-2.11,23.27,1.46,-0.51,23.26,27352975531,1416152678,4682440305,20144570298,0.142,5.18,17.12,73.65,3.21E+05,16602.02
174,1211.HK,Byd Co Ltd,China,Consumer Discretionary,968900,CNY,2020,85,93,3,2019,-20.51,12/31/2024,,,,,,,,,,,,,,,
175,1211.HK,Byd Co Ltd,China,Consumer Discretionary,968900,CNY,2021,94,93,3,2020,401.29,12/31/2024,,,,,,,,,,,,,,,
176,1211.HK,Byd Co Ltd,China,Consumer Discretionary,968900,CNY,2022,100,93,3,2021,27.67,12/31/2024,,,,,,30069893738,423648861.5,1056925298,3915512821,0.147,1.41,3.51,13.02,3.10E+04,437.25
177,CCO.TO,Cameco Corp,Canada,Energy,,CAD,2016,32,51.5,2,2015,-9.7,12/31/2024,,,,,,,,,,,,,,,
178,CCO.TO,Cameco Corp,Canada,Energy,,CAD,2017,71,51.5,2,2016,-12.97,12/31/2024,,,,,,,,,,,,,,,
179,CPB,Campbell Soup Co,USA,Consumer Discretionary,14400,USD,2019,85,89,3,2018,-28.29,7/31/2024,,,,,,,,,,,,,,,
180,CPB,Campbell Soup Co,USA,Consumer Discretionary,14400,USD,2020,93,89,3,2019,55.74,7/31/2024,,,,,,,,,,,,,,,
181,CPB,Campbell Soup Co,USA,Consumer Discretionary,14400,USD,2022,89,89,3,2021,-7.56,7/31/2024,,,,,,8476000000,1002000000,1270000000,2811000000,3.29,11.82,14.98,33.16,5.89E+05,69583.33
182,CM.TO,Canadian Imperial Bank of Commerce,Canada,Financials,48726,CAD,2018,89,89,1,2017,16.55,10/31/2024,,,,,,,,,,,,,,,
183,CNR.TO,Canadian National Railway Co,Canada,Communication Services,24911,CAD,2020,54,32,2,2019,19.96,12/31/2024,,,,,,,,,,,,,,,
184,CNR.TO,Canadian National Railway Co,Canada,Communication Services,24911,CAD,2021,10,32,2,2020,20.4,12/31/2024,,,,,,,,,,,,,,,
185,CP.TO,Canadian Pacific Railway Ltd,Canada,Financials,19992,CAD,2022,34,34,1,2021,3.67,12/31/2024,,,,,,5819073703,2075797148,2333452194,2333452194,3.042,35.67,40.1,40.1,2.91E+05,103831.39
186,CSIQ,Canadian Solar Inc,Canada,Real Estate,17113,USD,2020,84,84.5,2,2019,55.59,12/31/2024,,,,,,,,,,,,,,,
187,CSIQ,Canadian Solar Inc,Canada,Real Estate,17113,USD,2021,85,84.5,2,2020,126.65,12/31/2024,,,,,,,,,,,,,,,
188,CTC-A.TO,Canadian Tire Corporation,Canada,Consumer Discretionary,13973,CAD,2019,91,94.5,4,2018,-11.32,12/31/2024,,,,,,,,,,,,,,,
189,CTC-A.TO,Canadian Tire Corporation,Canada,Consumer Discretionary,13973,CAD,2021,99,94.5,4,2020,24.56,12/31/2024,,,,,,,,,,,,,,,
190,CTC-A.TO,Canadian Tire Corporation,Canada,Consumer Discretionary,13973,CAD,2022,98,94.5,4,2021,11.31,12/31/2024,,,,,,11858027601,820711383,1383549369,4247086788,13.378,6.92,11.67,35.82,8.49E+05,58735.52
191,CTC-A.TO,Canadian Tire Corporation,Canada,Consumer Discretionary,13973,CAD,2023,90,94.5,4,2022,-20.2,12/31/2024,9.32,-7.41,-1.29,4.5,-4.24,12963251293,759936817.1,1365717310,4438290123,12.81,5.86,10.54,34.24,9.28E+05,54386.09
192,5NU.F,CapitaLand Investment Ltd,Singapore,Real Estate,,SGD,2016,93,68,7,2015,0,12/31/2024,,,,,,,,,,,,,,,
193,5NU.F,CapitaLand Investment Ltd,Singapore,Real Estate,,SGD,2018,98,68,7,2017,0,12/31/2024,,,,,,,,,,,,,,,
194,5NU.F,CapitaLand Investment Ltd,Singapore,Real Estate,,SGD,2019,33,68,7,2018,0,12/31/2024,,,,,,,,,,,,,,,
195,5NU.F,CapitaLand Investment Ltd,Singapore,Real Estate,,SGD,2020,63,68,7,2019,0,12/31/2024,,,,,,,,,,,,,,,
196,5NU.F,CapitaLand Investment Ltd,Singapore,Real Estate,,SGD,2021,58,68,7,2020,0,12/31/2024,,,,,,,,,,,,,,,
