Year-Month-Date,Ticker,Original Currency,TotalRevenue,CostOfRevenue,GrossProfit,OperatingExpense,OperatingIncome,NetIncome,DilutedEPS,InterestExpense,NormalizedEBITDA,EBITDA,EBIT,NormalizedIncome,TotalExpenses,DilutedAverageShares,BasicAverageShares,BasicEPS,fullTimeEmployees,sector,industry,marketCap,enterpriseValue,beta,dividendYield,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,totalDebt,debtToEquity,operatingMargins,profitMargins,country,ResearchAndDevelopment
2023-12-31,ADP.PA,EUR,6319724128.842354,3206440558.91037,3113283569.931984,1715928735.256195,1397354834.6757889,725704445.0044632,7.349051352739334,319723986.86408997,2403680332.8990936,2400230074.0480423,1488211651.0868073,728304215.0487304,4922369294.166565,98748044.0,98748044.0,7.349051352739334,29330,Industrials,Airports & Air Services,11641229156.432983,22958662321.305176,1.093,2.87,29.710144,15.117993,1.6437234,2.2926545,12320874283.49878,194.358,0.14858,0.05554,France,101207592.96417236
2022-12-31,ADP.PA,EUR,5391604497.909546,2903967866.3015366,2487636631.6080093,1404255352.3778915,1083381279.2301178,593444522.3808289,6.003450400829315,285221398.35357666,1819436500.787735,1876940814.9719238,1163887319.0879822,550293285.0170135,4308223218.679428,98926232.0,98926232.0,6.003450400829315,29330,Industrials,Airports & Air Services,11641229156.432983,22958662321.305176,1.093,2.87,29.710144,15.117993,1.6437234,2.2926545,12320874283.49878,194.358,0.14858,0.05554,France,95457161.54575348
2021-12-31,ADP.PA,EUR,3193789609.7898483,2164462385.892868,1029327223.8969803,981023599.9822617,48303623.91471863,-285221398.35357666,-2.875215709209442,302472692.6088333,894767128.7059784,806210484.8623276,28752157.09209442,-218982178.84480953,3145485985.8751297,98945150.0,98945150.0,-2.875215709209442,29330,Industrials,Airports & Air Services,11641229156.432983,22958662321.305176,1.093,2.87,29.710144,15.117993,1.6437234,2.2926545,12320874283.49878,194.358,0.14858,0.05554,France,59804486.7515564
2020-12-31,ADP.PA,EUR,,,,,,,-13.582519010305406,,,,,,,98946002.0,98946002.0,-13.582519010305406,29330,Industrials,Airports & Air Services,11641229156.432983,22958662321.305176,1.093,2.87,29.710144,15.117993,1.6437234,2.2926545,12320874283.49878,194.358,0.14858,0.05554,France,
2024-10-31,A,USD,6510000000.0,2975000000.0,3535000000.0,2047000000.0,1488000000.0,1289000000.0,4.43,96000000.0,1874000000.0,1874000000.0,1617000000.0,1289000000.0,5022000000.0,291000000.0,290000000.0,4.44,18000,Healthcare,Diagnostics & Research,32988467200.0,35024519168.0,1.232,0.86,28.603449,20.553982,4.9771376,5.373652,3684000000.0,60.039,0.23561001,0.17592,United States,479000000.0
2023-10-31,A,USD,6833000000.0,3368000000.0,3465000000.0,2115000000.0,1350000000.0,1240000000.0,4.19,95000000.0,1705000000.0,1705000000.0,1434000000.0,1240000000.0,5483000000.0,296000000.0,294000000.0,4.22,18000,Healthcare,Diagnostics & Research,32988467200.0,35024519168.0,1.232,0.86,28.603449,20.553982,4.9771376,5.373652,3684000000.0,60.039,0.23561001,0.17592,United States,481000000.0
2022-10-31,A,USD,6848000000.0,3126000000.0,3722000000.0,2104000000.0,1618000000.0,1254000000.0,4.18,84000000.0,1905000000.0,1905000000.0,1588000000.0,1254000000.0,5230000000.0,300000000.0,299000000.0,4.19,18000,Healthcare,Diagnostics & Research,32988467200.0,35024519168.0,1.232,0.86,28.603449,20.553982,4.9771376,5.373652,3684000000.0,60.039,0.23561001,0.17592,United States,467000000.0
2021-10-31,A,USD,6319000000.0,2912000000.0,3407000000.0,2060000000.0,1347000000.0,1210000000.0,3.94,81000000.0,1762000000.0,1762000000.0,1441000000.0,1210000000.0,4972000000.0,307000000.0,304000000.0,3.98,18000,Healthcare,Diagnostics & Research,32988467200.0,35024519168.0,1.232,0.86,28.603449,20.553982,4.9771376,5.373652,3684000000.0,60.039,0.23561001,0.17592,United States,441000000.0
2024-12-31,AEM.TO,USD,8285753000.0,4600156000.0,3685597000.0,536168000.0,3149429000.0,1895581000.0,,86477000.0,4624979000.0,4422108000.0,2908032000.0,2031910312.0,5136324000.0,,,,,Basic Materials,Gold,84630790144.0,83724787712.0,0.499,1.34,26.100931,36.22629,9.4833145,3.9045296,1280736000.0,5.918,0.50082,0.26479998,Canada,
2023-12-31,AEM.TO,USD,6626909000.0,4425034000.0,2201875000.0,507242000.0,1694633000.0,1941307000.0,3.95,91216000.0,3165144000.0,3942056000.0,2450285000.0,1301908424.0,4932276000.0,489913000.0,488723000.0,3.97,,Basic Materials,Gold,84630790144.0,83724787712.0,0.499,1.34,26.100931,36.22629,9.4833145,3.9045296,1280736000.0,5.918,0.50082,0.26479998,Canada,
2022-12-31,AEM.TO,USD,5741162000.0,3738012000.0,2003150000.0,560241000.0,1442909000.0,670249000.0,1.53,61373000.0,2516162000.0,2271487000.0,1176796000.0,817298675.0,4298253000.0,438533000.0,437678000.0,1.53,,Basic Materials,Gold,84630790144.0,83724787712.0,0.499,1.34,26.100931,36.22629,9.4833145,3.9045296,1280736000.0,5.918,0.50082,0.26479998,Canada,
2021-12-31,AEM.TO,USD,3869625000.0,2511250000.0,1358375000.0,301647000.0,1056728000.0,561945000.0,2.22,76164000.0,1789538000.0,1747016000.0,1008887000.0,587543244.0,2812897000.0,244732000.0,243708000.0,2.23,,Basic Materials,Gold,84630790144.0,83724787712.0,0.499,1.34,26.100931,36.22629,9.4833145,3.9045296,1280736000.0,5.918,0.50082,0.26479998,Canada,
2020-12-31,AEM.TO,USD,,,,,,,2.1,,,,,,,243072000.0,241508000.0,2.12,,Basic Materials,Gold,84630790144.0,83724787712.0,0.499,1.34,26.100931,36.22629,9.4833145,3.9045296,1280736000.0,5.918,0.50082,0.26479998,Canada,
2024-12-31,AKZA.AS,EUR,12318574184.536934,7330649972.200394,4987924212.33654,3933295090.198517,1054629122.1380234,623346765.756607,3.634272656440735,218516393.8999176,1591719416.6183472,1608970710.8736038,1182288699.6269226,612616460.7298374,11263945062.39891,171612875.0,170728870.0,3.6457735192775726,34100,Basic Materials,Specialty Chemicals,11372368793.54419,16331521416.930786,0.993,3.44,21.272058,12.772627,0.92552173,2.1384485,6770558025.6519165,121.082,0.07654,0.0438,Netherlands,340425539.97039795
